"brood_year","run_year","Month","Tags_Collected","Catch","Harvested","Release_Mort","Drop_Mort","Impact"
1995,1998,4,2,6.65531990273988,6.6250916496945,0.00949167145625027,0.332765995136994,6.96734931628775
1997,2000,6,1,3.27049625050374,3.27,0.000102227603769988,0.163524812525187,3.43362704012896
1998,2000,6,1,5.86590373557844,3.30873688717619,0.526776370770863,0.293295186778922,4.12880844472598
1998,2001,7,3,14.1542051123466,14.153968634026,3.31069648842686e-05,0.707710255617332,14.8617119966083
1998,2002,7,1,3.56000234722785,3.56,6.68959936198643e-07,0.178000117361392,3.73800078632133
1999,2002,3,1,4.81654217270611,4.79855768276957,0.00490976575267554,0.240827108635305,5.04429455715755
1999,2002,6,2,7.50049303956273,7.49935494822611,0.000177542248513571,0.375024651978137,7.87455714245276
1999,2002,7,1,1.87285504354689,1.86273276904474,0.00141711843030076,0.0936427521773444,1.95779263965239
2000,2002,7,2,12.0474908656987,8.70647921540399,0.554607933948915,0.602374543284933,9.86346169263784
2000,2003,7,1,4.53090288858018,4.53082718950012,1.05978712075761e-05,0.226545144429009,4.75738293180034
2000,2003,8,1,3.74655439458577,3.74652886836028,3.57367156913035e-06,0.187327719729289,3.93386016176113
2001,2004,3,1,3.66743795736839,3.65374410840534,0.00191713885482645,0.183371897868419,3.83903314512859
2001,2004,4,1,4.89856352131854,4.87631440033784,0.00594051530184609,0.244928176065927,5.12718309170561
2001,2004,5,1,3.75223130994112,3.75218943807555,5.94580491162233e-06,0.187611565497056,3.93980694937752
2002,2004,6,1,9.35689048778865,5.27787193615808,0.571062597228279,0.467844524389432,6.3167790577758
2002,2004,7,4,22.9536899052585,16.5881697944223,1.39343757923657,1.14768449526292,19.1292918689218
2002,2004,8,2,6.62061872237367,5.32781267422412,0.306455163925311,0.331030936118684,5.96529877426812
2002,2004,9,2,6.92629146949636,6.85511793391297,0.00996429498167404,0.346314573474818,7.21139680236946
2002,2005,4,1,3.76204464411207,3.76202158979392,5.6713622651392e-06,0.188102232205603,3.95012949336178
2002,2005,5,2,7.96957598372201,7.96948704970204,1.24507627968118e-05,0.398478799186101,8.36797829965093
2002,2005,6,5,18.5269185491809,18.524107357252,0.000707669850931877,0.926345927459045,19.451160954562
2002,2005,8,5,27.9034648713634,27.9032747579788,2.66158738373257e-05,1.39517324356817,29.2984746174208
2002,2005,10,1,1.36293081422767,1.36292882363873,2.78682451337886e-07,0.0681465407113834,1.43107564303256
2003,2005,7,3,16.0547421006155,11.602439044437,0.961583278301312,0.802737105030777,13.3667594277691
2003,2006,4,1,5.2477478021828,5.24771564327485,7.68597899961154e-06,0.26238739010914,5.51011071936299
2003,2006,6,1,3.16730116727403,3.16682057513163,7.30500056451433e-05,0.158365058363702,3.32525868350098
2003,2006,7,5,21.0704967841942,21.0701447534264,5.13428019660189e-05,1.05352483920971,22.1237209354381
2003,2006,9,1,4.72412415385693,4.71823472356935,0.000824520240261393,0.236206207692847,4.95526545150246
2004,2006,6,5,28.3786872908989,16.0073560156671,1.88044235383524,1.41893436454495,19.3067327340473
2004,2006,7,4,23.9753345995721,17.3264918563128,0.980100358821969,1.1987667299786,19.5053589451134
2004,2007,6,1,5.09622976053296,5.02143465667064,0.010471314540724,0.254811488026648,5.28671745923801
