"brood_year","Age2Sp","Age3Sp","Age4Sp"
1997,0,0,3.16
1998,0,22.9633398435865,4.62554852525598
1999,1.67390180878553,37.9966511059943,32.4036686944382
2000,0,42.5913138805502,4.39686379666097
2001,0,24.4218989480606,4.75090319926475
2002,0,54.3183973217705,36.4427280821966
2003,1.63268456375839,61.6251238144845,25.361708545078
2004,0,60.3474312008536,31.9521558843444
2005,0,7.89360847628658,1.19685984909295
2006,0,5.95858541627786,5.4215960033521
2007,0,5.47760113716817,0
